"total_sales","total_units_sold","avg_product_revenue","year","product_name","category"
"19891828.76","366467","695.2267845659163987","2021","Hoodie","Merchandise"
"18897419.16","348147","667.7061394954420182","2023","Hoodie","Merchandise"
"17873644.08","329286","629.7749931292061591","2022","Hoodie","Merchandise"
"15089242.92","277989","693.8539991722996275","2024","Hoodie","Merchandise"
"10520115.36","193812","368.6611774600504626","2020","Hoodie","Merchandise"
"8570241.60","359490","302.4613234515616728","2021","T-Shirt","Merchandise"
"8435664.80","353845","295.2940385759792768","2023","T-Shirt","Merchandise"
"7865578.88","329932","273.7758050817960320","2022","T-Shirt","Merchandise"
"6626041.92","277938","300.9101689373297003","2024","T-Shirt","Merchandise"
"6534649.80","361830","229.3986449483957032","2021","Beanie","Merchandise"
"6348685.98","351533","221.4477651819037985","2023","Beanie","Merchandise"
"5994366.84","331914","210.0044436659192825","2022","Beanie","Merchandise"
"4996660.20","276670","230.2502281000875536","2024","Beanie","Merchandise"
"4654497.76","195239","162.5344051402032336","2020","T-Shirt","Merchandise"
"3662866.00","362660","128.1753158134163838","2021","Hat","Merchandise"
"3551887.20","351672","124.4573110480395249","2023","Hat","Merchandise"
"3541692.42","196107","123.6451759530791789","2020","Beanie","Merchandise"
"3541552.88","65246","528.9057467144563919","2019","Hoodie","Merchandise"
"3315769.40","328294","115.9441009860829429","2022","Hat","Merchandise"
"2782065.20","275452","129.0023741073912640","2024","Hat","Merchandise"
"1983932.90","196429","69.1989152424136728","2020","Hat","Merchandise"
"1595611.20","66930","236.0022481881378494","2019","T-Shirt","Merchandise"
"1218490.14","67469","180.8385485307212823","2019","Beanie","Merchandise"
"677114.10","67041","101.2885714285714286","2019","Hat","Merchandise"
"14205622.08","359454","498.4253913897757973","2021","Growlers","Packaging"
"13878080.32","351166","486.5745852324521422","2023","Growlers","Packaging"
"13044312.00","362342","453.8888618253940638","2021","Glass Bottles","Packaging"
"12982636.16","328508","452.7668326707121434","2022","Growlers","Packaging"
"12765204.00","354589","445.7591228131438349","2023","Glass Bottles","Packaging"
"11728476.00","325791","411.0063078216989066","2022","Glass Bottles","Packaging"
"11054178.72","279711","505.7500443793750286","2024","Growlers","Packaging"
"10041336.00","278926","457.9230207953301715","2024","Glass Bottles","Packaging"
"7800931.84","197392","269.9658028792912514","2020","Growlers","Packaging"
"6922260.00","192285","243.8531722267235002","2020","Glass Bottles","Packaging"
"2608794.24","66012","385.6310776053215078","2019","Growlers","Packaging"
"2383668.00","66213","358.0156203063983178","2019","Glass Bottles","Packaging"
"2045701.15","362071","71.7009971609827906","2021","Bottle Labels","Packaging"
"1940023.55","343367","68.9075637564822050","2023","Bottle Labels","Packaging"
"1837600.35","325239","64.8686935187800056","2022","Bottle Labels","Packaging"
"1576361.30","279002","71.9964055720484129","2024","Bottle Labels","Packaging"
"1098280.90","194386","38.6432884134970620","2020","Bottle Labels","Packaging"
"370979.00","65660","55.7695429945880938","2019","Bottle Labels","Packaging"
