"customer_id","total_transactions","total_customer_rev"
4608,"830","382277.38"
4802,"850","382176.02"
220,"825","382103.17"
3316,"846","382020.99"
2168,"855","382003.63"
2992,"877","381946.96"
201,"876","381801.13"
1382,"852","381746.47"
3629,"863","381601.02"
3162,"933","381555.18"
4915,"886","381473.06"
298,"866","381443.12"
5091,"867","381433.33"
5606,"848","381422.88"
1315,"842","381391.53"
3328,"831","381388.92"
4842,"833","381384.50"
1995,"870","381270.49"
2355,"855","381258.14"
4717,"852","381147.53"
4801,"850","381127.04"
4719,"934","381110.01"
1165,"818","381011.49"
4676,"847","380833.57"
340,"830","380709.32"
4851,"880","380674.06"
3623,"886","380626.62"
4646,"832","380543.47"
4715,"845","380534.68"
809,"858","380534.60"
149,"915","380315.67"
3374,"827","380298.73"
79,"872","380253.59"
1311,"824","380132.93"
2519,"818","380017.26"
3241,"853","379990.18"
3186,"858","379846.20"
4645,"858","379843.71"
2166,"876","379748.06"
358,"848","379661.31"
5038,"834","379602.03"
3808,"864","379583.48"
5231,"839","379471.12"
2442,"867","379469.98"
21,"836","379444.57"
195,"804","379360.84"
3702,"853","379360.55"
221,"862","379316.99"
2401,"823","379311.28"
3650,"867","379309.93"
1906,"801","379298.91"
329,"817","379292.08"
2344,"879","379158.49"
3474,"821","379105.07"
1102,"801","379078.59"
2689,"816","379048.06"
3401,"880","379043.20"
3557,"867","379039.40"
3337,"832","379020.76"
1214,"835","379015.11"
3654,"817","379007.59"
482,"922","378995.76"
3675,"871","378994.16"
1914,"856","378936.15"
2163,"839","378896.88"
1793,"851","378807.78"
4095,"826","378790.33"
2018,"865","378786.74"
4934,"862","378757.09"
81,"829","378639.92"
1855,"842","378602.43"
77,"836","378579.67"
1363,"885","378578.73"
133,"864","378526.66"
4750,"871","378505.32"
3627,"845","378494.72"
1471,"803","378466.33"
4670,"792","378384.05"
3297,"843","378360.55"
4909,"836","378332.65"
3672,"862","378254.65"
1886,"878","378236.74"
132,"846","378141.69"
2188,"842","378103.09"
3027,"838","377971.20"
3466,"808","377786.15"
2218,"854","377783.49"
2116,"844","377763.69"
3741,"838","377650.97"
1071,"858","377617.18"
4163,"874","377579.38"
4135,"840","377552.53"
83,"833","377438.94"
1050,"889","377377.44"
2164,"847","377279.19"
3258,"878","377173.27"
3491,"863","377165.41"
4907,"794","377053.17"
1732,"790","376942.75"
1246,"853","376901.28"
5,"832","376885.85"
2119,"851","376838.05"
2364,"849","376794.01"
1323,"838","376733.71"
1623,"870","376721.50"
4895,"854","376615.72"
1054,"809","376529.20"
4872,"864","376528.82"
1239,"870","376522.41"
3469,"829","376476.18"
3615,"918","376344.05"
4371,"811","376312.22"
4951,"889","376272.87"
1402,"849","376229.43"
4932,"844","376209.91"
275,"865","376132.02"
4751,"845","376131.89"
5075,"869","376115.88"
3307,"831","375963.95"
3149,"788","375914.11"
2474,"869","375858.79"
2220,"795","375848.34"
2333,"861","375817.87"
3550,"812","375770.18"
4900,"851","375693.22"
1415,"871","375672.80"
1077,"858","375599.23"
381,"819","375575.61"
2185,"900","375487.72"
1434,"868","375474.45"
3667,"868","375473.97"
2259,"818","375473.29"
1137,"858","375425.12"
43,"876","375403.99"
4707,"836","375357.87"
4769,"841","375344.19"
1442,"885","375343.24"
1575,"871","375292.44"
250,"828","375206.04"
1182,"861","375199.60"
1224,"813","375190.32"
3442,"843","375177.09"
4070,"817","375173.91"
3456,"845","375086.21"
1161,"856","375021.90"
163,"892","375017.70"
749,"831","375011.83"
4919,"846","374991.76"
1347,"826","374864.98"
74,"823","374769.19"
273,"860","374762.48"
66,"811","374723.65"
198,"819","374684.52"
4317,"835","374594.83"
1020,"848","374569.87"
1801,"863","374543.95"
4612,"830","374498.07"
4424,"893","374469.22"
126,"813","374365.86"
3580,"866","374333.50"
3674,"830","374260.82"
1657,"839","374231.65"
3200,"868","374224.26"
4843,"831","374193.32"
59,"839","374171.43"
4840,"878","374157.45"
1540,"826","374149.25"
3559,"839","374130.51"
3747,"855","374045.58"
1123,"867","373987.20"
3326,"845","373973.60"
4815,"890","373971.14"
4640,"834","373860.70"
107,"811","373843.48"
2544,"847","373840.42"
1284,"882","373829.35"
1630,"855","373798.86"
1699,"867","373688.06"
1033,"878","373669.80"
1721,"840","373668.34"
1585,"884","373657.92"
2180,"848","373648.07"
2411,"814","373646.00"
1185,"846","373595.24"
2882,"832","373579.43"
3412,"838","373578.09"
2500,"824","373567.08"
1882,"843","373531.16"
138,"810","373512.22"
4452,"868","373508.22"
2458,"831","373430.29"
5059,"840","373422.67"
4330,"849","373297.65"
4118,"805","373201.30"
1302,"835","373167.35"
1159,"853","373162.26"
120,"853","373063.33"
3440,"851","373011.73"
2175,"835","372870.17"
5982,"864","372834.86"
3393,"875","372834.85"
148,"798","372778.64"
3201,"853","372764.12"
97,"872","372745.45"
2314,"871","372689.77"
2221,"854","372688.08"
1294,"853","372669.71"
1120,"826","372578.34"
3308,"870","372512.68"
3348,"845","372509.81"
1271,"867","372496.78"
4641,"857","372486.78"
3584,"826","372405.44"
3743,"803","372398.90"
5263,"892","372389.85"
2716,"866","372372.94"
2425,"866","372361.79"
2087,"875","372224.86"
2272,"856","372216.21"
4782,"842","372214.31"
3350,"855","372144.50"
1953,"817","372119.40"
4690,"816","372096.11"
1564,"792","372076.63"
4774,"853","372062.94"
1337,"858","372028.26"
3406,"827","371904.48"
5211,"848","371884.02"
89,"834","371779.99"
2194,"880","371778.61"
42,"844","371759.20"
2493,"847","371748.47"
199,"866","371723.71"
3526,"866","371671.39"
5647,"859","371607.52"
3299,"934","371552.28"
4897,"907","371514.74"
2480,"846","371494.67"
1352,"834","371479.26"
1399,"862","371456.32"
1053,"821","371436.11"
2445,"873","371434.90"
2219,"790","371428.97"
2368,"843","371420.74"
2491,"876","371406.47"
4918,"856","371347.84"
90,"825","371326.78"
1124,"830","371292.62"
1839,"877","371243.99"
1221,"861","371202.21"
5440,"862","371118.92"
1295,"856","371077.57"
321,"831","371069.34"
2781,"834","371037.77"
1215,"885","370899.44"
1592,"825","370878.06"
5057,"795","370877.82"
2362,"837","370836.80"
1041,"825","370797.94"
113,"840","370778.99"
635,"864","370770.46"
4746,"862","370743.40"
2515,"859","370693.98"
1055,"820","370664.86"
3403,"861","370658.60"
1148,"889","370631.64"
4057,"862","370576.28"
2457,"867","370490.13"
945,"878","370441.76"
4916,"827","370437.93"
3861,"866","370420.23"
2306,"847","370396.34"
3887,"815","370396.05"
1157,"852","370387.18"
245,"840","370372.72"
3423,"848","370278.19"
1114,"816","370275.61"
3467,"845","370252.00"
614,"861","370247.84"
1047,"850","370179.51"
110,"848","370168.25"
5730,"828","370148.53"
60,"883","370108.59"
3561,"809","370047.57"
1973,"843","370045.79"
5008,"836","370042.66"
2105,"844","370019.65"
3425,"854","370000.47"
4790,"796","369984.04"
388,"861","369973.43"
5288,"841","369971.75"
3693,"844","369965.26"
4089,"862","369936.73"
1439,"826","369921.49"
4788,"868","369881.58"
2453,"808","369879.50"
5050,"790","369864.16"
211,"839","369845.66"
4722,"845","369833.34"
4763,"833","369832.82"
2130,"858","369830.39"
3785,"859","369816.80"
3352,"829","369717.12"
61,"875","369695.82"
3558,"829","369695.61"
1048,"862","369689.78"
2305,"832","369688.41"
4874,"875","369687.01"
4211,"887","369675.40"
4870,"844","369674.77"
4096,"868","369532.02"
2482,"856","369515.39"
5333,"783","369509.84"
5025,"783","369496.79"
3334,"839","369491.98"
5494,"831","369486.98"
1303,"869","369460.78"
1045,"842","369449.93"
4800,"840","369436.44"
306,"843","369427.02"
3332,"846","369379.94"
4241,"882","369344.95"
3250,"867","369336.59"
3574,"902","369331.45"
2049,"851","369322.06"
2336,"867","369318.10"
96,"872","369313.05"
147,"891","369304.97"
2343,"852","369285.79"
3346,"853","369254.10"
5037,"849","369179.44"
1606,"813","369163.37"
5087,"849","369141.76"
1548,"848","369141.62"
1549,"824","369104.92"
4776,"811","369043.36"
2172,"837","369036.77"
2256,"839","368951.28"
1725,"839","368943.65"
326,"859","368911.95"
5084,"888","368903.15"
2826,"873","368899.04"
2257,"853","368847.00"
1003,"861","368828.16"
2653,"845","368803.09"
39,"840","368730.07"
1278,"796","368656.02"
4688,"876","368620.43"
1902,"825","368602.56"
1336,"879","368541.78"
4981,"826","368524.19"
5041,"836","368507.43"
2944,"850","368492.92"
3482,"865","368469.24"
2002,"858","368447.77"
102,"842","368426.16"
2696,"831","368412.68"
4839,"829","368386.16"
311,"830","368376.94"
1896,"825","368375.51"
248,"835","368370.89"
3563,"816","368370.69"
173,"863","368327.49"
1176,"840","368265.04"
210,"848","368259.29"
4720,"862","368239.62"
2181,"814","368160.45"
4579,"827","368109.73"
4610,"826","368096.33"
2225,"847","368076.13"
1181,"852","368072.59"
5107,"828","368056.26"
1958,"868","368050.53"
323,"863","368047.98"
3502,"863","368022.32"
302,"870","368013.48"
3324,"884","368010.69"
4883,"862","367932.99"
4936,"845","367917.50"
2161,"906","367905.13"
3918,"849","367897.44"
3380,"813","367889.93"
236,"824","367851.37"
2127,"839","367838.59"
1910,"883","367809.90"
3621,"831","367807.03"
2149,"873","367755.77"
1753,"837","367755.62"
2836,"816","367746.57"
5044,"891","367693.03"
887,"853","367686.11"
174,"887","367646.68"
4168,"838","367614.70"
5270,"846","367586.14"
4084,"896","367560.05"
4974,"848","367512.44"
3579,"817","367507.31"
101,"838","367498.64"
3713,"868","367396.80"
1716,"870","367378.31"
1211,"850","367329.69"
1197,"848","367302.01"
2255,"897","367288.67"
2275,"764","367272.61"
4836,"809","367230.97"
3314,"837","367217.67"
5036,"851","367108.08"
2892,"817","367089.03"
1151,"830","367040.08"
4992,"853","366969.30"
4859,"858","366927.41"
2658,"855","366887.87"
4684,"859","366857.37"
2291,"814","366827.36"
3777,"873","366795.87"
4667,"833","366746.37"
1230,"870","366643.13"
2418,"852","366627.77"
2232,"837","366565.97"
2379,"849","366554.41"
2215,"834","366548.77"
693,"849","366499.98"
3367,"867","366494.53"
4962,"827","366488.26"
3828,"861","366474.43"
4693,"796","366440.20"
1365,"854","366435.48"
51,"873","366384.95"
4669,"851","366374.22"
1106,"886","366325.30"
3606,"879","366321.82"
312,"856","366321.82"
1547,"830","366312.24"
2311,"872","366303.41"
5819,"847","366272.47"
1873,"801","366234.81"
3895,"845","366204.52"
319,"869","366180.34"
3281,"849","366143.47"
1070,"795","366065.85"
2244,"807","366057.76"
1384,"850","366029.97"
3586,"824","366001.60"
4737,"844","365974.98"
3453,"824","365933.39"
4752,"840","365914.91"
5095,"841","365908.11"
405,"866","365881.31"
2229,"847","365880.42"
1223,"834","365874.53"
5024,"836","365873.95"
4976,"840","365841.92"
2074,"846","365815.44"
4061,"867","365791.52"
3379,"840","365761.27"
4631,"856","365698.27"
5707,"789","365672.23"
4765,"869","365663.31"
5689,"824","365604.11"
1196,"860","365588.79"
1266,"833","365585.64"
2073,"821","365504.74"
3538,"845","365489.13"
2514,"851","365475.42"
4105,"830","365472.44"
1104,"865","365438.65"
2477,"792","365422.36"
37,"906","365408.03"
75,"846","365375.06"
291,"858","365351.49"
3404,"820","365301.42"
4844,"840","365196.04"
385,"834","365154.30"
2816,"880","365150.74"
1969,"848","365145.94"
4996,"822","365120.14"
1740,"817","365077.13"
3155,"857","365023.77"
2260,"856","365009.18"
2233,"827","364960.27"
5099,"887","364925.08"
4157,"810","364915.93"
5009,"861","364858.30"
3848,"852","364854.31"
4506,"854","364814.31"
1373,"849","364802.15"
3689,"826","364795.66"
2499,"866","364794.44"
649,"844","364783.68"
4965,"818","364748.26"
5074,"874","364731.05"
3371,"902","364708.41"
379,"835","364699.65"
1260,"853","364682.44"
164,"841","364680.77"
2280,"892","364673.65"
3719,"846","364671.94"
1141,"852","364650.51"
3230,"864","364644.87"
2066,"794","364640.94"
3414,"824","364601.91"
2812,"856","364587.88"
172,"851","364569.30"
5165,"843","364565.23"
3459,"904","364511.25"
4986,"846","364483.78"
1980,"829","364378.79"
1234,"843","364324.61"
4648,"822","364322.72"
185,"812","364297.15"
2273,"836","364242.59"
2186,"811","364229.04"
2283,"827","364228.67"
1276,"876","364199.55"
2156,"845","364168.95"
3677,"802","364145.25"
1923,"801","364137.52"
3696,"848","364086.38"
3510,"869","364055.88"
4419,"843","364040.75"
5043,"829","363963.89"
239,"836","363904.34"
3551,"847","363847.88"
1067,"833","363814.12"
2516,"872","363777.94"
85,"860","363744.59"
3408,"888","363725.22"
1380,"842","363721.36"
1283,"831","363703.36"
4906,"844","363700.75"
98,"848","363667.10"
3664,"808","363666.33"
1729,"839","363638.75"
4731,"851","363620.48"
1115,"866","363557.59"
4021,"822","363550.21"
1251,"791","363463.28"
2147,"853","363406.97"
2349,"882","363406.24"
2427,"812","363404.65"
36,"837","363397.54"
4698,"881","363373.30"
331,"821","363339.18"
2922,"840","363298.14"
1254,"869","363291.11"
3446,"820","363280.80"
1579,"795","363275.16"
5056,"891","363266.37"
2192,"832","363176.41"
1573,"843","363174.43"
289,"874","363163.48"
3505,"794","363132.75"
2264,"826","363101.63"
1220,"808","363059.29"
3750,"849","363001.24"
159,"833","362946.55"
1621,"876","362924.53"
2000,"819","362901.04"
5208,"898","362844.74"
2674,"844","362839.04"
271,"828","362835.84"
3728,"854","362826.36"
5750,"866","362811.37"
4564,"841","362806.87"
2692,"860","362806.16"
1369,"824","362779.22"
293,"870","362765.80"
3644,"863","362750.82"
2160,"808","362710.39"
2309,"856","362700.88"
4893,"878","362676.41"
1155,"821","362668.52"
2501,"871","362579.11"
2313,"861","362551.08"
1038,"825","362505.32"
2987,"837","362459.23"
1179,"832","362440.94"
2455,"861","362437.81"
4704,"807","362431.94"
4058,"849","362359.06"
3727,"854","362355.25"
4975,"808","362339.24"
1731,"867","362329.42"
41,"830","362318.78"
2408,"817","362306.05"
2430,"859","362286.33"
4937,"838","362241.62"
5859,"836","362230.74"
3973,"854","362019.42"
2424,"845","362007.61"
1275,"823","361995.78"
4978,"826","361971.44"
2954,"810","361950.43"
2035,"847","361937.43"
145,"870","361928.55"
2556,"825","361928.50"
2299,"823","361903.63"
1335,"843","361875.53"
4686,"807","361867.47"
1422,"852","361865.56"
4428,"807","361829.19"
3439,"841","361820.60"
5010,"898","361774.71"
5876,"866","361773.09"
3360,"838","361742.37"
1775,"840","361717.01"
4772,"821","361713.04"
33,"849","361696.71"
1912,"799","361695.96"
40,"865","361615.16"
1362,"828","361586.30"
4740,"837","361581.32"
3754,"821","361567.13"
5251,"844","361565.32"
4398,"871","361534.05"
104,"848","361523.42"
3504,"890","361520.13"
1489,"864","361516.33"
4217,"886","361505.00"
2157,"862","361499.14"
5675,"792","361479.15"
2940,"824","361402.84"
1184,"809","361371.56"
1187,"832","361361.45"
1216,"794","361349.49"
3620,"849","361340.06"
4482,"824","361290.98"
4846,"840","361284.82"
2183,"839","361268.85"
2998,"822","361249.56"
3729,"857","361235.13"
2608,"844","361233.60"
4938,"835","361207.38"
1862,"773","361142.15"
327,"825","361129.83"
3345,"878","361126.69"
3661,"841","361112.94"
1383,"835","361092.53"
1541,"852","361035.85"
802,"827","361027.30"
1867,"881","360975.66"
1763,"859","360913.80"
3305,"864","360910.54"
2265,"801","360890.13"
3541,"820","360874.80"
1007,"821","360854.05"
728,"870","360829.67"
1490,"856","360726.82"
442,"893","360725.23"
1918,"844","360692.11"
1412,"849","360660.76"
263,"856","360639.36"
4817,"881","360626.22"
2326,"853","360619.91"
4375,"846","360596.22"
3884,"836","360588.09"
119,"855","360584.14"
2462,"847","360515.96"
4882,"851","360463.90"
2193,"875","360449.10"
4601,"877","360422.36"
2365,"824","360407.50"
1259,"856","360400.60"
4808,"844","360373.08"
2358,"839","360328.82"
238,"878","360315.67"
281,"836","360303.91"
1282,"847","360271.54"
48,"815","360201.67"
1021,"830","360179.63"
2460,"845","360153.62"
1351,"856","360141.03"
5264,"820","360115.32"
719,"891","360087.43"
3143,"859","360085.05"
4950,"818","360056.47"
4832,"810","360045.24"
1147,"866","360033.30"
178,"815","359996.73"
1164,"823","359973.28"
2302,"877","359883.96"
2470,"841","359875.64"
4963,"854","359839.00"
4813,"837","359830.32"
3694,"835","359826.88"
1081,"810","359797.70"
2467,"826","359785.89"
2214,"896","359785.75"
1665,"880","359772.85"
2465,"849","359771.66"
4929,"850","359767.78"
5869,"846","359764.54"
2444,"818","359756.20"
4451,"854","359674.63"
2200,"870","359662.83"
5529,"835","359627.10"
4803,"790","359580.80"
1008,"870","359577.69"
1290,"871","359564.45"
3447,"846","359550.60"
296,"819","359547.68"
4787,"843","359543.84"
1356,"821","359524.48"
2354,"855","359458.62"
1965,"830","359403.68"
3321,"845","359396.93"
1027,"816","359392.17"
28,"840","359364.10"
25,"853","359352.98"
3286,"829","359346.81"
4632,"847","359313.39"
4656,"811","359293.15"
3575,"799","359282.45"
4743,"868","359264.35"
3730,"854","359255.98"
4015,"843","359237.77"
3614,"864","359229.75"
4794,"863","359214.90"
3213,"843","359203.84"
2084,"858","359202.05"
2216,"850","359130.16"
1029,"843","359093.27"
3993,"852","359087.39"
243,"790","359051.93"
2883,"854","359027.95"
2673,"821","358927.84"
2234,"849","358919.56"
1152,"832","358890.28"
4460,"801","358860.46"
3585,"820","358824.00"
2205,"834","358822.87"
136,"842","358816.15"
4583,"788","358795.63"
2001,"804","358773.05"
3421,"875","358756.09"
4940,"823","358713.05"
1126,"857","358679.30"
2028,"847","358663.06"
3594,"822","358659.78"
2421,"824","358651.88"
2700,"846","358648.30"
3509,"868","358633.72"
4672,"835","358622.60"
4987,"797","358595.69"
3174,"828","358571.92"
179,"800","358473.41"
3676,"871","358458.82"
1032,"849","358439.12"
3461,"853","358353.00"
1414,"829","358347.45"
2263,"816","358339.80"
2562,"850","358328.73"
196,"815","358315.71"
1097,"840","358275.71"
3399,"805","358222.95"
350,"802","358222.11"
3678,"853","358198.51"
2294,"809","358194.45"
1609,"874","358190.51"
1877,"808","358170.80"
1626,"827","358152.21"
87,"821","358148.81"
344,"854","358142.45"
4864,"867","358142.43"
1555,"858","358141.82"
2245,"788","358133.28"
3612,"799","358106.49"
1107,"811","358087.34"
4202,"843","358066.45"
4046,"807","358058.40"
3679,"859","358020.93"
3864,"874","358001.70"
3590,"848","358000.89"
175,"887","357935.49"
4714,"856","357935.15"
3433,"841","357930.27"
57,"829","357898.45"
1888,"807","357889.52"
4812,"841","357881.52"
1095,"785","357849.20"
2381,"922","357837.60"
180,"855","357783.31"
1501,"862","357750.46"
2443,"814","357732.52"
2372,"827","357726.10"
5003,"855","357706.18"
5837,"816","357692.91"
1771,"830","357671.64"
566,"840","357642.63"
1060,"840","357576.61"
186,"897","357557.09"
2101,"823","357524.65"
346,"835","357476.80"
3519,"868","357469.37"
2974,"818","357463.37"
4642,"830","357439.71"
2137,"859","357398.97"
2583,"821","357380.52"
1066,"859","357313.17"
1743,"836","357310.05"
4946,"839","357303.20"
3583,"846","357292.84"
1654,"787","357279.46"
2171,"819","357268.49"
4744,"884","357234.75"
2159,"875","357211.97"
1825,"859","357201.65"
3487,"815","357181.03"
1815,"822","357156.25"
3457,"844","357155.33"
2298,"793","357141.44"
2483,"807","357113.10"
109,"867","357097.00"
303,"862","357033.24"
1072,"832","357030.68"
608,"841","357029.11"
3690,"873","357016.45"
2520,"807","356975.54"
3021,"821","356975.46"
3764,"836","356964.15"
4759,"831","356932.72"
2449,"840","356921.87"
4933,"850","356917.30"
1199,"877","356908.58"
4683,"809","356899.28"
3735,"800","356896.18"
3633,"821","356884.69"
641,"817","356847.45"
1331,"823","356825.07"
139,"841","356805.75"
4903,"798","356784.94"
3634,"855","356769.21"
2584,"829","356755.52"
254,"840","356754.62"
5824,"862","356741.45"
5254,"807","356729.70"
3444,"871","356707.12"
4766,"815","356703.69"
1376,"828","356672.74"
4819,"851","356671.92"
1056,"840","356652.82"
2513,"889","356647.19"
4884,"832","356639.15"
4117,"860","356638.71"
1723,"840","356637.36"
3530,"825","356612.27"
63,"810","356610.00"
2498,"878","356582.28"
1158,"840","356576.30"
1231,"823","356573.87"
4716,"816","356566.89"
2956,"813","356552.31"
2184,"803","356471.89"
3712,"809","356466.96"
3568,"849","356453.66"
4300,"829","356435.12"
3762,"844","356413.46"
287,"861","356365.03"
3626,"815","356355.13"
373,"823","356347.78"
294,"814","356219.27"
5850,"868","356214.23"
2510,"876","356204.41"
67,"785","356194.07"
1308,"829","356160.77"
2479,"825","356160.40"
334,"830","356158.68"
14,"849","356145.76"
1238,"823","356139.88"
5033,"802","356127.90"
5086,"847","356126.24"
4415,"884","356121.70"
2254,"880","356107.98"
4003,"830","356099.27"
2351,"838","356096.29"
4866,"833","356096.07"
3133,"812","356087.68"
12,"861","356084.85"
1,"868","356069.14"
150,"829","356042.36"
3322,"869","356030.15"
1885,"829","355987.42"
247,"817","355938.65"
1293,"834","355923.37"
4726,"874","355898.81"
401,"857","355879.26"
5017,"887","355875.27"
3390,"821","355874.78"
127,"835","355861.31"
2337,"844","355854.41"
1754,"863","355840.05"
2182,"828","355801.83"
1947,"866","355781.79"
994,"793","355756.06"
3492,"861","355734.94"
1177,"871","355722.26"
4624,"831","355710.25"
1649,"844","355681.52"
4837,"819","355568.05"
3061,"846","355546.57"
5641,"818","355545.07"
270,"861","355538.37"
4820,"836","355517.57"
3361,"835","355513.70"
1273,"840","355510.52"
789,"805","355460.33"
3742,"847","355456.92"
256,"813","355439.64"
16,"839","355435.63"
1372,"822","355405.76"
4902,"801","355369.76"
2112,"837","355319.19"
49,"838","355303.44"
2114,"826","355292.41"
3630,"867","355282.05"
1849,"855","355280.57"
3707,"878","355261.97"
1997,"838","355258.83"
3506,"824","355255.27"
316,"838","355229.27"
4111,"865","355220.70"
4822,"827","355217.84"
2512,"856","355203.20"
2189,"846","355191.22"
2651,"844","355184.46"
2285,"837","355168.41"
1024,"840","355165.39"
4994,"839","355017.91"
2436,"777","355010.18"
1089,"830","354994.69"
130,"793","354977.78"
3648,"915","354949.88"
3498,"846","354904.28"
1375,"768","354899.85"
4213,"829","354838.33"
184,"854","354821.89"
2103,"883","354799.45"
1348,"832","354764.02"
2791,"860","354755.13"
1558,"833","354699.17"
2601,"812","354675.80"
3290,"825","354658.03"
5700,"851","354657.08"
154,"833","354630.83"
5040,"845","354615.73"
4728,"829","354564.03"
330,"890","354551.63"
4876,"857","354535.72"
5146,"829","354513.68"
260,"827","354477.12"
2062,"895","354443.46"
1281,"845","354428.30"
2570,"812","354396.44"
3358,"827","354364.78"
262,"836","354343.45"
1760,"889","354300.43"
1919,"838","354296.35"
1395,"866","354281.35"
4928,"841","354276.05"
1146,"865","354256.00"
3645,"843","354250.10"
1835,"813","354245.74"
3744,"799","354238.34"
3512,"833","354199.73"
3409,"851","354178.03"
1299,"818","354167.36"
1370,"848","354166.56"
4395,"846","354138.49"
1101,"839","354134.24"
2292,"890","354120.49"
883,"886","354117.48"
1149,"808","354060.18"
1586,"833","354037.78"
1946,"848","354035.92"
282,"885","354022.76"
1117,"862","354020.94"
2266,"834","354016.53"
3486,"840","354003.67"
4638,"854","353997.28"
2126,"839","353964.15"
2155,"857","353952.24"
